simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0.0	0.0	0.002463	0.0087	0.2025	5.0798	4.7308	0.26303	0.8001	19.7929	0.88
0.0	1.0	0.000399	0.7637	0.2139	5.4746	2.638	0.19067	0.6979	9.8597	0.0
0.0	2.0	0.028683	0.0073	0.7601	5.901	2.502	0.47705	0.6139	1.0209	1.0
0.0	3.0	0.023643	0.7831	0.0885	4.1806	4.49	0.47741	0.7587	8.5715	1.0
0.0	4.0	0.023013	0.5335	0.8667	4.619	1.7668	0.43115	0.0051	19.1773	0.99
0.0	5.0	0.026595	0.3503	0.6269	5.7398	4.454	0.62753	0.7025	11.9649	1.0
0.0	6.0	0.024765	0.1113	0.8195	5.591	2.662	0.67775	0.2623	10.7375	1.0
0.0	7.0	0.014211	0.6947	0.3967	4.3026	3.8132	0.43061	0.7347	7.7013	1.0
0.0	8.0	0.010089	0.2907	0.4655	4.5622	1.9436	0.44753	0.2655	10.3271	0.68
0.0	9.0	0.005121	0.2251	0.8247	4.6414	4.3964	0.85361	0.0239	4.2129	0.98
0.0	10.0	0.021177	0.5811	0.1121	4.6398	1.23	0.13235	0.2707	11.7825	0.97
0.0	11.0	0.023289	0.0805	0.0331	4.8426	2.0348	0.10769	0.2437	14.4235	0.99
0.0	12.0	0.021087	0.0871	0.5307	5.0354	1.2268	0.19805	0.0147	6.5347	0.84
0.0	13.0	0.021249	0.0275	0.2941	4.5462	3.2196	0.18509	0.6171	8.5449	1.0
0.0	14.0	0.007263	0.8847	0.6599	4.4166	4.622	0.76901	0.9623	4.8627	0.76
0.0	15.0	0.003309	0.7905	0.9373	5.0418	4.7924	0.51809	0.2735	11.2315	1.0
0.0	16.0	0.022173	0.3069	0.3071	5.7954	4.9428	0.16349	0.1689	11.6381	1.0
0.0	17.0	0.027195	0.9721	0.5781	4.0562	4.9804	0.67793	0.3179	5.3453	0.7
0.0	18.0	0.018243	0.9153	0.2609	4.1326	3.9908	0.10481	0.9573	19.0291	1.0
0.0	19.0	0.005331	0.9161	0.9961	4.6918	2.3004	0.25871	0.2489	7.5227	0.91
0.0	20.0	0.023619	0.5055	0.9093	4.4446	1.5788	0.90545	0.5847	14.1119	0.98
0.0	21.0	0.007155	0.6111	0.7445	5.417	4.8036	0.13073	0.8113	7.2035	1.0
0.0	22.0	0.010893	0.8785	0.4093	5.6182	2.2036	0.50279	0.8071	10.6083	0.5
0.0	23.0	0.026421	0.2989	0.1645	4.5102	2.4372	0.27725	0.5241	16.2741	0.99
0.0	24.0	0.028113	0.2731	0.4749	5.3046	1.062	0.61925	0.1965	3.5555	0.87
0.0	25.0	0.019251	0.7565	0.8395	5.6874	1.1932	0.49415	0.0325	14.2221	0.95
0.0	26.0	0.012483	0.3563	0.5715	4.1626	4.526	0.55157	0.5391	6.2915	1.0
0.0	27.0	0.010683	0.1487	0.2403	4.563	2.1212	0.06323	0.4245	19.6485	0.8
0.0	28.0	0.005889	0.4631	0.6139	5.3882	2.09	0.77081	0.0031	10.9503	0.13
