"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
1	"BOLIVAR"	"EL CARMEN DE BOLIVAR"	"COLOMBIA, BOLIVAR, EL CARMEN DE BOLIVAR"	13507	"el carmen de bolivar"	"bolivar"	"CO13244"
2	"BOLIVAR"	"MAGANGUE"	"COLOMBIA, BOLIVAR, MAGANGUE"	13510	"magangue"	"bolivar"	"CO13430"
3	"BOYACA"	"CUBARA"	"COLOMBIA, BOYACA, CUBARA"	13563	"cubara"	"boyaca"	"CO15223"
4	"TOLIMA"	"PURIFICACION"	"COLOMBIA, TOLIMA, PURIFICACION"	14351	"purificacion"	"tolima"	"CO73585"
5	"ATLANTICO"	"USIACURI"	"COLOMBIA, ATLANTICO, USIACURI"	13496	"usiacuri"	"atlantico"	"CO08849"
6	"SANTANDER"	"SAN VICENTE DE CHUCURI"	"COLOMBIA, SANTANDER, SAN VICENTE DE CHUCURI"	14279	"san vicente de chucuri"	"santander"	"CO68689"
7	"SUCRE"	"LOS PALMITOS"	"COLOMBIA, SUCRE, LOS PALMITOS"	14301	"los palmitos"	"sucre"	"CO70418"
8	"TOLIMA"	"SUAREZ"	"COLOMBIA, TOLIMA, SUAREZ"	14359	"suarez"	"tolima"	"CO73770"
9	"SANTANDER"	"RIONEGRO"	"COLOMBIA, SANTANDER, RIONEGRO"	14271	"rionegro"	"santander"	"CO68615"
10	"BOLIVAR"	"SANTA ROSA"	"COLOMBIA, BOLIVAR, SANTA ROSA"	13526	"santa rosa"	"bolivar"	"CO13683"
11	"VALLE"	"CARTAGO"	"COLOMBIA, VALLE, CARTAGO"	14377	"cartago"	"valle"	"CO76147"
12	"TOLIMA"	"NATAGAIMA"	"COLOMBIA, TOLIMA, NATAGAIMA"	14346	"natagaima"	"tolima"	"CO73483"
13	"BOYACA"	"CALDAS"	"COLOMBIA, BOYACA, CALDAS"	13547	"caldas"	"boyaca"	"CO15131"
14	"SUCRE"	"OVEJAS"	"COLOMBIA, SUCRE, OVEJAS"	14304	"ovejas"	"sucre"	"CO70508"
15	"BOYACA"	"MONIQUIRA"	"COLOMBIA, BOYACA, MONIQUIRA"	13590	"moniquira"	"boyaca"	"CO15469"
16	"SUCRE"	"COROZAL"	"COLOMBIA, SUCRE, COROZAL"	14297	"corozal"	"sucre"	"CO70215"
17	"SANTANDER"	"SABANA DE TORRES"	"COLOMBIA, SANTANDER, SABANA DE TORRES"	14272	"sabana de torres"	"santander"	"CO68655"
18	"SANTANDER"	"SAN GIL"	"COLOMBIA, SANTANDER, SAN GIL"	14275	"san gil"	"santander"	"CO68679"
19	"SANTANDER"	"SOCORRO"	"COLOMBIA, SANTANDER, SOCORRO"	14283	"socorro"	"santander"	"CO68755"
20	"VALLE"	"CAICEDONIA"	"COLOMBIA, VALLE, CAICEDONIA"	14373	"caicedonia"	"valle"	"CO76122"
21	"VALLE"	"CALI"	"COLOMBIA, VALLE, CALI"	14374	"cali"	"valle"	"CO76001"
22	"CALDAS"	"LA DORADA"	"COLOMBIA, CALDAS, LA DORADA"	13666	"la dorada"	"caldas"	"CO17380"
23	"SUCRE"	"SINCELEJO"	"COLOMBIA, SUCRE, SINCELEJO"	14314	"sincelejo"	"sucre"	"CO70001"
24	"VALLE"	"DAGUA"	"COLOMBIA, VALLE, DAGUA"	14378	"dagua"	"valle"	"CO76233"
25	"SUCRE"	"CAIMITO"	"COLOMBIA, SUCRE, CAIMITO"	14294	"caimito"	"sucre"	"CO70124"
27	"VALLE"	"PRADERA"	"COLOMBIA, VALLE, PRADERA"	14393	"pradera"	"valle"	"CO76563"
28	"CASANARE"	"MANI"	"COLOMBIA, CASANARE, MANI"	13704	"mani"	"casanare"	"CO85139"
29	"CASANARE"	"NUNCHIA"	"COLOMBIA, CASANARE, NUNCHIA"	13706	"nunchia"	"casanare"	"CO85225"
30	"CAQUETA"	"CURILLO"	"COLOMBIA, CAQUETA, CURILLO"	13688	"curillo"	"caqueta"	"CO18205"
31	"CASANARE"	"AGUAZUL"	"COLOMBIA, CASANARE, AGUAZUL"	13700	"aguazul"	"casanare"	"CO85010"
32	"CAQUETA"	"SAN VICENTE DEL CAGUAN"	"COLOMBIA, CAQUETA, SAN VICENTE DEL CAGUAN"	13697	"san vicente del caguan"	"caqueta"	"CO18753"
33	"VALLE"	"ULLOA"	"COLOMBIA, VALLE, ULLOA"	14402	"ulloa"	"valle"	"CO76845"
34	"VALLE"	"PALMIRA"	"COLOMBIA, VALLE, PALMIRA"	14392	"palmira"	"valle"	"CO76520"
35	"CALDAS"	"CHINCHINA"	"COLOMBIA, CALDAS, CHINCHINA"	13664	"chinchina"	"caldas"	"CO17174"
36	"ATLANTICO"	"SUAN"	"COLOMBIA, ATLANTICO, SUAN"	13494	"suan"	"atlantico"	"CO08770"
37	"ATLANTICO"	"TUBARA"	"COLOMBIA, ATLANTICO, TUBARA"	13495	"tubara"	"atlantico"	"CO08832"
38	"TOLIMA"	"COYAIMA"	"COLOMBIA, TOLIMA, COYAIMA"	14329	"coyaima"	"tolima"	"CO73217"
39	"TOLIMA"	"ESPINAL"	"COLOMBIA, TOLIMA, ESPINAL"	14332	"espinal"	"tolima"	"CO73268"
40	"TOLIMA"	"IBAGUE"	"COLOMBIA, TOLIMA, IBAGUE"	14339	"ibague"	"tolima"	"CO73001"
43	"VALLE"	"ANDALUCIA"	"COLOMBIA, VALLE, ANDALUCIA"	14365	"andalucia"	"valle"	"CO76036"
44	"ATLANTICO"	"SANTO TOMAS"	"COLOMBIA, ATLANTICO, SANTO TOMAS"	13492	"santo tomas"	"atlantico"	"CO08685"
45	"ATLANTICO"	"SOLEDAD"	"COLOMBIA, ATLANTICO, SOLEDAD"	13493	"soledad"	"atlantico"	"CO08758"
46	"CALDAS"	"VICTORIA"	"COLOMBIA, CALDAS, VICTORIA"	13682	"victoria"	"caldas"	"CO17867"
