adm_1_name	adm_2_name	full_name	FAO_GAUL_code	dengue_ID	adm2_std	adm1_std	ocha_ID
BOLIVAR	EL CARMEN DE BOLIVAR	COLOMBIA, BOLIVAR, EL CARMEN DE BOLIVAR	13507	1	el carmen de bolivar	bolivar	CO13244
BOLIVAR	MAGANGUE	COLOMBIA, BOLIVAR, MAGANGUE	13510	2	magangue	bolivar	CO13430
BOYACA	CUBARA	COLOMBIA, BOYACA, CUBARA	13563	3	cubara	boyaca	CO15223
TOLIMA	PURIFICACION	COLOMBIA, TOLIMA, PURIFICACION	14351	4	purificacion	tolima	CO73585
ATLANTICO	USIACURI	COLOMBIA, ATLANTICO, USIACURI	13496	5	usiacuri	atlantico	CO08849
SANTANDER	SAN VICENTE DE CHUCURI	COLOMBIA, SANTANDER, SAN VICENTE DE CHUCURI	14279	6	san vicente de chucuri	santander	CO68689
SUCRE	LOS PALMITOS	COLOMBIA, SUCRE, LOS PALMITOS	14301	7	los palmitos	sucre	CO70418
TOLIMA	SUAREZ	COLOMBIA, TOLIMA, SUAREZ	14359	8	suarez	tolima	CO73770
SANTANDER	RIONEGRO	COLOMBIA, SANTANDER, RIONEGRO	14271	9	rionegro	santander	CO68615
BOLIVAR	SANTA ROSA	COLOMBIA, BOLIVAR, SANTA ROSA	13526	10	santa rosa	bolivar	CO13683
VALLE	CARTAGO	COLOMBIA, VALLE, CARTAGO	14377	11	cartago	valle	CO76147
TOLIMA	NATAGAIMA	COLOMBIA, TOLIMA, NATAGAIMA	14346	12	natagaima	tolima	CO73483
BOYACA	CALDAS	COLOMBIA, BOYACA, CALDAS	13547	13	caldas	boyaca	CO15131
SUCRE	OVEJAS	COLOMBIA, SUCRE, OVEJAS	14304	14	ovejas	sucre	CO70508
BOYACA	MONIQUIRA	COLOMBIA, BOYACA, MONIQUIRA	13590	15	moniquira	boyaca	CO15469
SUCRE	COROZAL	COLOMBIA, SUCRE, COROZAL	14297	16	corozal	sucre	CO70215
SANTANDER	SABANA DE TORRES	COLOMBIA, SANTANDER, SABANA DE TORRES	14272	17	sabana de torres	santander	CO68655
SANTANDER	SAN GIL	COLOMBIA, SANTANDER, SAN GIL	14275	18	san gil	santander	CO68679
SANTANDER	SOCORRO	COLOMBIA, SANTANDER, SOCORRO	14283	19	socorro	santander	CO68755
VALLE	CAICEDONIA	COLOMBIA, VALLE, CAICEDONIA	14373	20	caicedonia	valle	CO76122
VALLE	CALI	COLOMBIA, VALLE, CALI	14374	21	cali	valle	CO76001
CALDAS	LA DORADA	COLOMBIA, CALDAS, LA DORADA	13666	22	la dorada	caldas	CO17380
SUCRE	SINCELEJO	COLOMBIA, SUCRE, SINCELEJO	14314	23	sincelejo	sucre	CO70001
VALLE	DAGUA	COLOMBIA, VALLE, DAGUA	14378	24	dagua	valle	CO76233
SUCRE	CAIMITO	COLOMBIA, SUCRE, CAIMITO	14294	25	caimito	sucre	CO70124
VALLE	PRADERA	COLOMBIA, VALLE, PRADERA	14393	27	pradera	valle	CO76563
CASANARE	MANI	COLOMBIA, CASANARE, MANI	13704	28	mani	casanare	CO85139
CASANARE	NUNCHIA	COLOMBIA, CASANARE, NUNCHIA	13706	29	nunchia	casanare	CO85225
CAQUETA	CURILLO	COLOMBIA, CAQUETA, CURILLO	13688	30	curillo	caqueta	CO18205
CASANARE	AGUAZUL	COLOMBIA, CASANARE, AGUAZUL	13700	31	aguazul	casanare	CO85010
CAQUETA	SAN VICENTE DEL CAGUAN	COLOMBIA, CAQUETA, SAN VICENTE DEL CAGUAN	13697	32	san vicente del caguan	caqueta	CO18753
VALLE	ULLOA	COLOMBIA, VALLE, ULLOA	14402	33	ulloa	valle	CO76845
VALLE	PALMIRA	COLOMBIA, VALLE, PALMIRA	14392	34	palmira	valle	CO76520
CALDAS	CHINCHINA	COLOMBIA, CALDAS, CHINCHINA	13664	35	chinchina	caldas	CO17174
ATLANTICO	SUAN	COLOMBIA, ATLANTICO, SUAN	13494	36	suan	atlantico	CO08770
ATLANTICO	TUBARA	COLOMBIA, ATLANTICO, TUBARA	13495	37	tubara	atlantico	CO08832
TOLIMA	COYAIMA	COLOMBIA, TOLIMA, COYAIMA	14329	38	coyaima	tolima	CO73217
