ADM2_PCODE	epidemic_id	t	imax	duration
CO05001	CO05001.1	3	0.00841763587794952	371
CO05001	CO05001.2	6	0.0012934416105142	819
CO05001	CO05001.3	137	0.00607712248749527	889
CO05034	CO05034.1	136	0.0029199297112838	91
CO05034	CO05034.3	3	0.00992776101836493	217
CO05045	CO05045.3	114	0.00107465106155257	56
CO05045	CO05045.8	236	0.00184225896266155	168
CO05045	CO05045.9	333	0.00107465106155257	105
CO05045	CO05045.10	176	0.0035309963451013	910
CO05051	CO05051.1	6	0.00185590978393044	42
CO05051	CO05051.2	209	0.00123727318928696	35
CO05051	CO05051.3	314	0.00123727318928696	28
CO05051	CO05051.4	78	0.00247454637857392	210
CO05051	CO05051.5	139	0.00123727318928696	28
CO05051	CO05051.7	342	0.00247454637857392	49
CO05051	CO05051.9	214	0.00433045616250435	196
CO05051	CO05051.10	318	0.00371181956786087	105
CO05051	CO05051.11	120	0.00185590978393044	98
CO05051	CO05051.12	365	0.00185590978393044	63
CO05051	CO05051.13	119	0.00556772935179131	203
CO05079	CO05079.2	150	0.00462605200853404	119
CO05079	CO05079.3	129	0.00565406356598605	133
CO05079	CO05079.4	15	0.00205602311490402	28
CO05079	CO05079.5	78	0.00257002889363002	91
CO05079	CO05079.6	140	0.00308403467235603	98
CO05088	CO05088.1	333	0.00342763483041835	350
CO05088	CO05088.4	131	0.00215609287719864	280
CO05088	CO05088.5	144	0.00348291926316704	637
CO05120	CO05120.1	319	0.00335452469597083	77
CO05120	CO05120.2	180	0.00469633457435916	147
CO05120	CO05120.4	147	0.00402542963516499	238
CO05129	CO05129.1	361	0.00331106354989354	315
CO05147	CO05147.2	94	0.0022072474678544	70
CO05147	CO05147.3	163	0.00176579797428352	28
CO05147	CO05147.4	176	0.0022072474678544	98
CO05147	CO05147.5	33	0.0022072474678544	56
CO05147	CO05147.6	312	0.00706319189713408	126
CO05147	CO05147.7	21	0.00176579797428352	35
CO05147	CO05147.9	329	0.00529739392285056	112
CO05147	CO05147.10	139	0.00132434848071264	42
CO05154	CO05154.3	272	0.0011948653713785	84
CO05154	CO05154.5	143	0.0014338384456542	413
CO05154	CO05154.8	197	0.0019117845942056	133
CO05154	CO05154.12	243	0.0014338384456542	168
CO05154	CO05154.14	221	0.0031066499655841	196
CO05154	CO05154.16	133	0.0016728115199299	273
CO05154	CO05154.17	104	0.0011948653713785	105
CO05172	CO05172.2	29	0.00101457405572603	42
CO05172	CO05172.3	197	0.00202914811145206	91
CO05172	CO05172.4	118	0.00135276540763471	112
CO05172	CO05172.6	159	0.00169095675954338	140
CO05172	CO05172.7	10	0.00101457405572603	42
CO05172	CO05172.9	49	0.00236733946336074	420
CO05172	CO05172.10	132	0.00270553081526942	224
CO05212	CO05212.1	87	0.00464281242395113	245
CO05212	CO05212.2	356	0.0035713941722701	70
CO05212	CO05212.3	110	0.00178569708613505	28
CO05212	CO05212.4	180	0.00607137009285918	280
CO05212	CO05212.5	10	0.00892848543067526	357
CO05250	CO05250.1	187	0.00361696820821832	77
CO05250	CO05250.2	354	0.00310025846418713	63
CO05250	CO05250.3	360	0.00465038769628069	77
CO05250	CO05250.4	134	0.00258354872015594	63
CO05250	CO05250.5	287	0.0129177436007797	308
CO05266	CO05266.2	17	0.0167522846405193	287
CO05266	CO05266.6	333	0.00269740176415141	406
CO05308	CO05308.1	6	0.00333771782367785	252
CO05308	CO05308.2	94	0.00762906931126366	203
CO05308	CO05308.3	286	0.00190726732781591	28
CO05308	CO05308.4	166	0.00572180198344774	112
CO05308	CO05308.5	227	0.00429135148758581	77
CO05360	CO05360.1	361	0.0210493163022411	350
CO05360	CO05360.2	358	0.00205141641928621	434
CO05360	CO05360.3	152	0.00142707229167736	259
CO05360	CO05360.5	228	0.0111490022787294	532
CO05380	CO05380.1	59	0.0116561807838589	231
CO05380	CO05380.2	340	0.00494504639315226	364
CO05490	CO05490.1	151	0.00299721690444248	35
CO05490	CO05490.2	48	0.00171269537396713	42
CO05490	CO05490.3	132	0.00214086921745891	133
CO05490	CO05490.4	19	0.00428173843491783	70
CO05490	CO05490.5	194	0.00642260765237674	182
CO05490	CO05490.6	242	0.00385356459142605	175
CO05490	CO05490.7	276	0.00128452153047535	28
CO05490	CO05490.8	141	0.00770712918285209	224
CO05490	CO05490.10	147	0.00685078149586853	504
CO05490	CO05490.11	321	0.00299721690444248	35
CO05579	CO05579.1	364	0.00384510013744741	357
CO05579	CO05579.2	151	0.00439440015708276	56
CO05579	CO05579.3	270	0.00274650009817672	42
CO05579	CO05579.4	115	0.00439440015708276	119
CO05579	CO05579.5	58	0.00274650009817672	70
CO05579	CO05579.6	184	0.00274650009817672	42
CO05579	CO05579.7	13	0.00439440015708276	343
CO05579	CO05579.8	306	0.00329580011781207	42
CO05579	CO05579.10	357	0.00549300019635344	231
CO05631	CO05631.1	52	0.0226355622227192	238
CO05631	CO05631.2	361	0.00301807496302923	273
CO05665	CO05665.1	64	0.00577867833170531	63
CO05665	CO05665.2	358	0.00247657642787371	329
CO05665	CO05665.3	356	0.00495315285574741	77
CO05665	CO05665.5	316	0.00412762737978951	84
CO05665	CO05665.6	91	0.00247657642787371	84
CO05665	CO05665.7	217	0.0132084076153264	224
CO05665	CO05665.8	111	0.00412762737978951	112
CO05736	CO05736.2	10	0.00638905368395912	273
CO05736	CO05736.3	190	0.00638905368395912	112
CO05736	CO05736.6	347	0.00425936912263941	182
CO05736	CO05736.7	139	0.00780884339150559	210
CO05756	CO05756.1	139	0.00204201133045327	56
