xmin	xmax	ocha_ID	epidemic_id	thres	duration	imax
2010-01-03	2011-01-09	CO05001	CO05001.1	0.000282298764199527	371	0.00841763587794952
2013-01-06	2015-04-05	CO05001	CO05001.2	0.000282298764199527	819	0.0012934416105142
2015-05-17	2017-10-22	CO05001	CO05001.3	0.000282298764199527	889	0.00607712248749527
2010-05-16	2010-08-15	CO05034	CO05034.1	0.00058398594225676	91	0.0029199297112838
2016-01-03	2016-08-07	CO05034	CO05034.3	0.00058398594225676	217	0.00992776101836493
2011-04-24	2011-06-19	CO05045	CO05045.3	0.000307043160443591	56	0.00107465106155257
2014-08-24	2015-02-08	CO05045	CO05045.8	0.000307043160443591	168	0.00184225896266155
2015-11-29	2016-03-13	CO05045	CO05045.9	0.000307043160443591	105	0.00107465106155257
2017-06-25	2019-12-22	CO05045	CO05045.10	0.000307043160443591	910	0.0035309963451013
2008-01-06	2008-02-17	CO05051	CO05051.1	0.000618636594643479	42	0.00185590978393044
2008-07-27	2008-08-31	CO05051	CO05051.2	0.000618636594643479	35	0.00123727318928696
2008-11-09	2008-12-07	CO05051	CO05051.3	0.000618636594643479	28	0.00123727318928696
2012-03-18	2012-10-14	CO05051	CO05051.4	0.000618636594643479	210	0.00247454637857392
2013-05-19	2013-06-16	CO05051	CO05051.5	0.000618636594643479	28	0.00123727318928696
2013-12-08	2014-01-26	CO05051	CO05051.7	0.000618636594643479	49	0.00247454637857392
2015-08-02	2016-02-14	CO05051	CO05051.9	0.000618636594643479	196	0.00433045616250435
2016-11-13	2017-02-26	CO05051	CO05051.10	0.000618636594643479	105	0.00371181956786087
2017-04-30	2017-08-06	CO05051	CO05051.11	0.000618636594643479	98	0.00185590978393044
2017-12-31	2018-03-04	CO05051	CO05051.12	0.000618636594643479	63	0.00185590978393044
2018-04-29	2018-11-18	CO05051	CO05051.13	0.000618636594643479	203	0.00556772935179131
2010-05-30	2010-09-26	CO05079	CO05079.2	0.00102801155745201	119	0.00462605200853404
2016-05-08	2016-09-18	CO05079	CO05079.3	0.00102801155745201	133	0.00565406356598605
2017-01-15	2017-02-12	CO05079	CO05079.4	0.00102801155745201	28	0.00205602311490402
2017-03-19	2017-06-18	CO05079	CO05079.5	0.00102801155745201	91	0.00257002889363002
2018-05-20	2018-08-26	CO05079	CO05079.6	0.00102801155745201	98	0.00308403467235603
2009-11-29	2010-11-14	CO05088	CO05088.1	0.000276422163743416	350	0.00342763483041835
2014-05-11	2015-02-15	CO05088	CO05088.4	0.000276422163743416	280	0.00215609287719864
2015-05-24	2017-02-19	CO05088	CO05088.5	0.000276422163743416	637	0.00348291926316704
2009-11-15	2010-01-31	CO05120	CO05120.1	0.000670904939194165	77	0.00335452469597083
2014-06-29	2014-11-23	CO05120	CO05120.2	0.000670904939194165	147	0.00469633457435916
2018-05-27	2019-01-20	CO05120	CO05120.4	0.000670904939194165	238	0.00402542963516499
2015-12-27	2016-11-06	CO05129	CO05129.1	0.000331106354989354	315	0.00331106354989354
2010-04-04	2010-06-13	CO05147	CO05147.2	0.000882898987141761	70	0.0022072474678544
2011-06-12	2011-07-10	CO05147	CO05147.3	0.000882898987141761	28	0.00176579797428352
2012-06-24	2012-09-30	CO05147	CO05147.4	0.000882898987141761	98	0.0022072474678544
2014-02-02	2014-03-30	CO05147	CO05147.5	0.000882898987141761	56	0.0022072474678544
2015-11-08	2016-03-13	CO05147	CO05147.6	0.000882898987141761	126	0.00706319189713408
2018-01-21	2018-02-25	CO05147	CO05147.7	0.000882898987141761	35	0.00176579797428352
2018-11-25	2019-03-17	CO05147	CO05147.9	0.000882898987141761	112	0.00529739392285056
2019-05-19	2019-06-30	CO05147	CO05147.10	0.000882898987141761	42	0.00132434848071264
2008-09-28	2008-12-21	CO05154	CO05154.3	0.0002389730742757	84	0.0011948653713785
2010-05-23	2011-07-10	CO05154	CO05154.5	0.0002389730742757	413	0.0014338384456542
2012-07-15	2012-11-25	CO05154	CO05154.8	0.0002389730742757	133	0.0019117845942056
2014-08-31	2015-02-15	CO05154	CO05154.12	0.0002389730742757	168	0.0014338384456542
2015-08-09	2016-02-21	CO05154	CO05154.14	0.0002389730742757	196	0.0031066499655841
2018-05-13	2019-02-10	CO05154	CO05154.16	0.0002389730742757	273	0.0016728115199299
2019-04-14	2019-07-28	CO05154	CO05154.17	0.0002389730742757	105	0.0011948653713785
2012-01-29	2012-03-11	CO05172	CO05172.2	0.000338191351908677	42	0.00101457405572603
2012-07-15	2012-10-14	CO05172	CO05172.3	0.000338191351908677	91	0.00202914811145206
2013-04-28	2013-08-18	CO05172	CO05172.4	0.000338191351908677	112	0.00135276540763471
2014-06-08	2014-10-26	CO05172	CO05172.6	0.000338191351908677	140	0.00169095675954338
2016-01-10	2016-02-21	CO05172	CO05172.7	0.000338191351908677	42	0.00101457405572603
