var1	var2	effect	sobol	ci	n
alphaRest	alphaRest	Total Effects	0.5753887680475414	0.002337211155683813	9437184
alphaAmp	alphaAmp	Total Effects	0.03998790713817734	0.000293445491796304	9437184
alphaShift	alphaShift	Total Effects	0.12738692990996606	0.0008954136214290894	9437184
infTicksCount	infTicksCount	Total Effects	0.017922594168644314	8.353921793171925e-05	9437184
avgVisitsCount	avgVisitsCount	Total Effects	0.2904341226364861	0.0013835978988217834	9437184
pVisits	pVisits	Total Effects	0.0014231916123828756	6.595733042298502e-06	9437184
propSocialVisits	propSocialVisits	Total Effects	0.04551058804613027	0.00036342222987830293	9437184
locPerSGCount	locPerSGCount	Total Effects	0.003938093382129818	3.893500943213197e-05	9437184
alphaRest	alphaRest	First Order	0.5337995141099293	0.003107080106769793	9437184
alphaAmp	alphaAmp	First Order	0.0010817846688212832	0.0007208189204435432	9437184
alphaShift	alphaShift	First Order	0.0711880258889308	0.0014320019359731469	9437184
infTicksCount	infTicksCount	First Order	0.01655781303706391	0.0005014031537490582	9437184
avgVisitsCount	avgVisitsCount	First Order	0.2612901135660945	0.0018654777966201335	9437184
pVisits	pVisits	First Order	0.0012867364187098894	0.00015286952789267524	9437184
propSocialVisits	propSocialVisits	First Order	0.035451993633838795	0.0007711734741907636	9437184
locPerSGCount	locPerSGCount	First Order	0.0010937036796978832	0.0002515093548790526	9437184
alphaRest	alphaAmp	Second Order	0.002539733046070992	0.004095636231195027	9437184
alphaRest	alphaShift	Second Order	0.008463337790530101	0.004058890408167386	9437184
alphaRest	infTicksCount	Second Order	0.00020848988674030192	0.0041101837515021954	9437184
alphaRest	avgVisitsCount	Second Order	0.009990515146258871	0.004561968778100305	9437184
alphaRest	pVisits	Second Order	4.715334731988279e-05	0.004084010353597785	9437184
alphaRest	propSocialVisits	Second Order	0.003149126653651836	0.0041441659221718545	9437184
alphaRest	locPerSGCount	Second Order	3.80750482565635e-05	0.004070998145181623	9437184
alphaAmp	alphaShift	Second Order	0.02765702444422416	0.0010583427047696499	9437184
alphaAmp	infTicksCount	Second Order	6.553672055389925e-08	0.001022330732554983	9437184
alphaAmp	avgVisitsCount	Second Order	0.0010924358091509712	0.0011053490338671643	9437184
alphaAmp	pVisits	Second Order	-2.309341699376641e-05	0.0010399095654601653	9437184
alphaAmp	propSocialVisits	Second Order	0.00013188675521783044	0.0010569325640203302	9437184
alphaAmp	locPerSGCount	Second Order	-2.2726517623081373e-05	0.0010355884990907642	9437184
alphaShift	infTicksCount	Second Order	1.416720495817439e-05	0.0020838943771341184	9437184
alphaShift	avgVisitsCount	Second Order	0.0025281795889486314	0.0021985049539414653	9437184
alphaShift	pVisits	Second Order	-0.00010063208959506338	0.0020782471574153005	9437184
alphaShift	propSocialVisits	Second Order	0.0004954048342840425	0.002098630212351765	9437184
alphaShift	locPerSGCount	Second Order	-0.00010805181087937587	0.002077570101801252	9437184
infTicksCount	avgVisitsCount	Second Order	0.0002078657807745854	0.000759597769990625	9437184
infTicksCount	pVisits	Second Order	8.597933970539307e-06	0.0007415003710842385	9437184
infTicksCount	propSocialVisits	Second Order	2.3514721214971945e-05	0.0007436344121785743	9437184
infTicksCount	locPerSGCount	Second Order	3.3956547849790623e-06	0.0007385775364580999	9437184
avgVisitsCount	pVisits	Second Order	-3.11612574993912e-05	0.0022017153549734637	9437184
avgVisitsCount	propSocialVisits	Second Order	0.0002930095294930504	0.002242080040214624	9437184
avgVisitsCount	locPerSGCount	Second Order	2.133056770306464e-05	0.002206310906402266	9437184
pVisits	propSocialVisits	Second Order	1.2018263170446297e-05	0.0002008325753294423	9437184
pVisits	locPerSGCount	Second Order	3.6044391478785853e-06	0.00019676246299370548	9437184
propSocialVisits	locPerSGCount	Second Order	0.0019310118192032637	0.0010922942993391832	9437184
