var1	var2	effect	sobol	ci	n
alphaRest	alphaRest	Total Effects	0.6908261070246507	0.003430301657632788	9437184
alphaAmp	alphaAmp	Total Effects	0.13232302550711442	0.0012069379901400422	9437184
alphaShift	alphaShift	Total Effects	0.23586945946029053	0.0018779351908929582	9437184
infTicksCount	infTicksCount	Total Effects	0.012076063106591865	0.00011465146625218891	9437184
avgVisitsCount	avgVisitsCount	Total Effects	0.2720580385789972	0.0019688834760954524	9437184
pVisits	pVisits	Total Effects	0.001430528553157662	1.0443532784974336e-05	9437184
propSocialVisits	propSocialVisits	Total Effects	0.003086005109450014	3.080442899978971e-05	9437184
locPerSGCount	locPerSGCount	Total Effects	0.0021311839843705287	3.0500616664212864e-05	9437184
alphaRest	alphaRest	First Order	0.5233166431990334	0.004113607028252644	9437184
alphaAmp	alphaAmp	First Order	0.019268535415261048	0.0015621055308933857	9437184
alphaShift	alphaShift	First Order	0.07595399352836604	0.0021064844656468163	9437184
infTicksCount	infTicksCount	First Order	0.004980869790199292	0.000401513682436667	9437184
avgVisitsCount	avgVisitsCount	First Order	0.12253669743959576	0.0020338725721776862	9437184
pVisits	pVisits	First Order	0.0009448658951199139	0.0001310999294404791	9437184
propSocialVisits	propSocialVisits	First Order	0.001043097234948168	0.00020672641924625478	9437184
locPerSGCount	locPerSGCount	First Order	0.00024330985520232783	0.00016863892159555557	9437184
alphaRest	alphaAmp	Second Order	0.0037002197919358305	0.005506754003815382	9437184
alphaRest	alphaShift	Second Order	0.019881512798364726	0.0055367986012132804	9437184
alphaRest	infTicksCount	Second Order	0.0018223966636411477	0.005740845063675345	9437184
alphaRest	avgVisitsCount	Second Order	0.07269813976232327	0.005743259950158987	9437184
alphaRest	pVisits	Second Order	0.00010836570224190061	0.005750366131696158	9437184
alphaRest	propSocialVisits	Second Order	0.0001471248697634789	0.005760552594852031	9437184
alphaRest	locPerSGCount	Second Order	0.00010814121121243737	0.005762054646484439	9437184
alphaAmp	alphaShift	Second Order	0.06219883115078226	0.002567957667073167	9437184
alphaAmp	infTicksCount	Second Order	3.624617456577696e-05	0.0022269059002872644	9437184
alphaAmp	avgVisitsCount	Second Order	0.0012592916080690214	0.002312805191978	9437184
alphaAmp	pVisits	Second Order	2.579609901781079e-05	0.0022209726716889274	9437184
alphaAmp	propSocialVisits	Second Order	7.421965386028616e-05	0.0022128578709114245	9437184
alphaAmp	locPerSGCount	Second Order	0.00010320882871487334	0.0021974896681014582	9437184
alphaShift	infTicksCount	Second Order	3.578580537810967e-05	0.0024823800691584946	9437184
alphaShift	avgVisitsCount	Second Order	0.01142918826069765	0.0028094400413002088	9437184
alphaShift	pVisits	Second Order	-0.00034044273989485214	0.0024323430174175696	9437184
alphaShift	propSocialVisits	Second Order	-0.0002503673333694614	0.0024461007118301765	9437184
alphaShift	locPerSGCount	Second Order	-0.0002563244455914183	0.002441399166583444	9437184
infTicksCount	avgVisitsCount	Second Order	0.0008782930046749154	0.0006409777100423489	9437184
infTicksCount	pVisits	Second Order	-8.33920366536872e-05	0.0005836839876201806	9437184
infTicksCount	propSocialVisits	Second Order	-7.104320947868984e-05	0.000584282110040742	9437184
infTicksCount	locPerSGCount	Second Order	-6.878329648605803e-05	0.0005851692538087724	9437184
avgVisitsCount	pVisits	Second Order	0.0003849866278652338	0.0025939872746156586	9437184
avgVisitsCount	propSocialVisits	Second Order	0.000486675702531966	0.002640849387407421	9437184
avgVisitsCount	locPerSGCount	Second Order	0.0004346429454467564	0.002586841611751025	9437184
pVisits	propSocialVisits	Second Order	-7.227609429770042e-05	0.00019474852162565707	9437184
pVisits	locPerSGCount	Second Order	-6.520933657097128e-05	0.0001931707720594282	9437184
propSocialVisits	locPerSGCount	Second Order	0.00036033380769316854	0.0002801552681940039	9437184
