ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
duration	0	0	-1.274958610534668	0.04987214954423675	0.07742510914498431
duration	0	1	-1.3722167015075684	0.05093217551878708	0.07446580732364684
duration	0	2	-1.4227501153945923	0.051435919410248526	0.07333791777887165
duration	0	3	-1.4466524124145508	0.05152739962162986	0.07268112295275249
duration	0	4	-1.4663125276565552	0.05184479296046139	0.07232331063431699
duration	0	5	-1.4682635068893433	0.05208860796421664	0.07209852696137929
duration	0	6	-1.4806996583938599	0.05193305392590112	0.07189212102292157
duration	0	7	-1.4847570657730103	0.0521556323353109	0.07183800820643715
duration	0	8	-1.4937599897384644	0.05218518196446854	0.07170576982829491
duration	0	9	-1.4954625368118286	0.05218674305893205	0.0716718250998027
duration	0	10	-1.5006918907165527	0.05229276016123777	0.0716326672360688
duration	0	11	-1.50869619846344	0.05230832832711252	0.07159086845795987
duration	0	12	-1.502118468284607	0.05234719701661672	0.07157826799875795
duration	0	13	-1.5132055282592773	0.052414581227197256	0.07157863002486776
duration	0	14	-1.5090603828430176	0.05250041703594298	0.07155987893354256
duration	0	15	-1.5133285522460938	0.052554815615769614	0.07158451568976403
duration	0	16	-1.5170460939407349	0.05256966178374191	0.07155501387570984
duration	0	17	-1.5178834199905396	0.0525478869404262	0.07150783894351478
duration	0	18	-1.511578917503357	0.0526954067773392	0.07157501367700504
duration	0	19	-1.512449860572815	0.052760774188447906	0.0715602933980645
duration	0	20	-1.5126266479492188	0.05274672849267021	0.07157269696913345
duration	0	21	-1.524756669998169	0.05277242107264658	0.07158315654635622
duration	0	22	-1.5155725479125977	0.052763625988876454	0.07158749795338203
duration	0	23	-1.5163637399673462	0.05293960774535161	0.07163154774583726
duration	0	24	-1.5232048034667969	0.052711368686416744	0.07159664562551743
duration	0	25	-1.513321876525879	0.05277660034501159	0.07162035833310176
duration	0	26	-1.5236965417861938	0.052867544768700654	0.0716392140852693
duration	0	27	-1.518535852432251	0.052865073232749055	0.07161946062023203
duration	0	28	-1.5238291025161743	0.05281555960446934	0.07160571553541667
duration	0	29	-1.523768424987793	0.052739131867635576	0.07161277354783108
duration	1	0	-1.3077518939971924	0.04954330358461032	0.07566410416629793
duration	1	1	-1.4053385257720947	0.05061541050562802	0.07280058388237169
duration	1	2	-1.4503254890441895	0.05113892111427028	0.07180324862317704
duration	1	3	-1.4762256145477295	0.051495143487560166	0.0712327288249704
duration	1	4	-1.4933470487594604	0.051737480739934026	0.07091729727952786
duration	1	5	-1.5025982856750488	0.05188186869779352	0.07071549861289349
duration	1	6	-1.5074752569198608	0.05187771091813043	0.07057658367299013
duration	1	7	-1.5178651809692383	0.052028708444327686	0.07049036494361352
duration	1	8	-1.5200237035751343	0.05209994005988791	0.07042912695486679
duration	1	9	-1.5202711820602417	0.05228594697521786	0.07043631709356284
duration	1	10	-1.5293446779251099	0.05238649741404384	0.07041594537514373
duration	1	11	-1.5312310457229614	0.05248177288072837	0.07041454773060968
duration	1	12	-1.529008388519287	0.05245014392750233	0.07035817971937565
duration	1	13	-1.5320550203323364	0.05238306344434341	0.07031897793770064
duration	1	14	-1.534608006477356	0.0525879179407475	0.07038777108020826
duration	1	15	-1.5507522821426392	0.05257298522782919	0.07039741935565534
duration	1	16	-1.5419166088104248	0.052935448493990865	0.07049885155319609
duration	1	17	-1.5408092737197876	0.05283261136563518	0.07048464306174988
duration	1	18	-1.5513460636138916	0.052960853049440024	0.07050600057543986
duration	1	19	-1.5446972846984863	0.053059473069407885	0.0705077961680324
duration	1	20	-1.5493088960647583	0.05302537936230733	0.07049341241875008
duration	1	21	-1.5481312274932861	0.05309873516860234	0.07053930153663411
duration	1	22	-1.5531363487243652	0.05296501357959586	0.07049007444836625
duration	1	23	-1.5510846376419067	0.05305664352603048	0.07055283890680197
duration	1	24	-1.5535826683044434	0.05296858608568331	0.07049285475143113
duration	1	25	-1.5538228750228882	0.05313418219306416	0.07055503904168418
duration	1	26	-1.5572069883346558	0.05317458741639391	0.07052878269603031
duration	1	27	-1.5514706373214722	0.053124180512357615	0.07055638962530085
duration	1	28	-1.5605149269104004	0.053324355594752335	0.07060665343269945
duration	1	29	-1.5557594299316406	0.05337944487572073	0.07061933816631369
duration	2	0	-1.3464184999465942	0.050710659883552105	0.07473407409761593
duration	2	1	-1.4352304935455322	0.051907485015144715	0.07210646168260594
duration	2	2	-1.4833203554153442	0.05258234107069433	0.071203396867323
duration	2	3	-1.5140546560287476	0.05255995143772962	0.07064854257986242
duration	2	4	-1.531059741973877	0.05304931567517607	0.07046055044404992
duration	2	5	-1.541563630104065	0.05305504765316477	0.07024258651392273
duration	2	6	-1.549914002418518	0.05327736308636142	0.07015747442838914
duration	2	7	-1.559271216392517	0.053315176719057104	0.07008165054371229
duration	2	8	-1.5588510036468506	0.05343497175127772	0.07003879556081902
duration	2	9	-1.5643351078033447	0.05360626265348513	0.07002291106290616
duration	2	10	-1.5613375902175903	0.053516442799343325	0.06997289970160595
duration	2	11	-1.5644854307174683	0.05355761067926712	0.06992763004860299
duration	2	12	-1.5668922662734985	0.05361369158659633	0.06993417038991188
duration	2	13	-1.574154257774353	0.05371367003728167	0.069962731142943
duration	2	14	-1.569331407546997	0.0538812396511368	0.07002369201331972
duration	2	15	-1.5771746635437012	0.053818312383171085	0.06995967155481951
duration	2	16	-1.580501675605774	0.05378095226543971	0.06999969257644734
duration	2	17	-1.5754061937332153	0.054045952043105874	0.07007996722068167
duration	2	18	-1.575791597366333	0.05412811015018744	0.07012034583163824
duration	2	19	-1.5845859050750732	0.05428894032007473	0.07017791291667805
duration	2	20	-1.5856584310531616	0.05416463384812261	0.07010523800487038
duration	2	21	-1.5868524312973022	0.05424793246823077	0.0701506813577689
duration	2	22	-1.5838967561721802	0.054325722947160086	0.07020490892430581
duration	2	23	-1.5850377082824707	0.05427237790766839	0.0702001062559304
duration	2	24	-1.5841712951660156	0.054406021331221376	0.0702297471180961
duration	2	25	-1.5847578048706055	0.05434925155139488	0.07019225127172857
duration	2	26	-1.5880694389343262	0.05454861504857335	0.07030763143557951
duration	2	27	-1.589725375175476	0.05469955011970382	0.0703492777377501
duration	2	28	-1.5936455726623535	0.05469693916933076	0.07037110648965067
duration	2	29	-1.5867488384246826	0.05472707041527037	0.07040523105551068
duration	3	0	-1.3792437314987183	0.05128527025101394	0.07405888023801648
duration	3	1	-1.4704703092575073	0.05224757696838945	0.07148335732862672
duration	3	2	-1.5122666358947754	0.05283242360643383	0.07064866253954263
duration	3	3	-1.5430642366409302	0.053046675332465	0.0702092970842946
duration	3	4	-1.557273268699646	0.053257914036965996	0.06996062902842362
duration	3	5	-1.5635594129562378	0.05363274794397052	0.06987194920510251
duration	3	6	-1.576615810394287	0.0536335467889556	0.0697459027660572
duration	3	7	-1.5924937725067139	0.05376256886198637	0.06969862860266593
duration	3	8	-1.596228837966919	0.05398088561581865	0.06972964533749758
duration	3	9	-1.6043245792388916	0.05420502688197315	0.06970680990906139
duration	3	10	-1.602979063987732	0.05416685972765458	0.0696872068718084
duration	3	11	-1.6067485809326172	0.054340083980744164	0.06972681816952933
duration	3	12	-1.5998550653457642	0.0542135669448307	0.06971063221838569
duration	3	13	-1.6044455766677856	0.054324684239787396	0.06972203603972209
duration	3	14	-1.6060422658920288	0.0544580040537448	0.0697650405763386
duration	3	15	-1.6034971475601196	0.05453425747792664	0.06977797304288935
duration	3	16	-1.6082849502563477	0.05455541188055763	0.06986608523465418
duration	3	17	-1.610856056213379	0.05461351965539858	0.0698257612127168
duration	3	18	-1.6217007637023926	0.05463100880415138	0.06981173112102043
duration	3	19	-1.6156177520751953	0.05479365759971522	0.06987723937663246
duration	3	20	-1.6086636781692505	0.05479884754488329	0.06990304171406712
duration	3	21	-1.6159394979476929	0.05486794934828499	0.06997930892886724
duration	3	22	-1.6068140268325806	0.054894102199924	0.069947508024312
duration	3	23	-1.6220991611480713	0.05486605646740883	0.06997150217975882
duration	3	24	-1.630802035331726	0.05483552249508947	0.06996854888734097
duration	3	25	-1.6213699579238892	0.055021451409345286	0.07007249371707354
duration	3	26	-1.6230884790420532	0.05492671349391573	0.07005065855157061
duration	3	27	-1.6191160678863525	0.05503071214117898	0.06998553457518573
duration	3	28	-1.617243766784668	0.05520332298098085	0.0701050044584369
duration	3	29	-1.6183860301971436	0.05521580911948981	0.07009146929885325
duration	4	0	-1.405901312828064	0.0512057670226024	0.07371170064008588
duration	4	1	-1.5000367164611816	0.05211316651540257	0.07111047752822058
duration	4	2	-1.5367038249969482	0.05288887169841184	0.07031106436907122
duration	4	3	-1.5731606483459473	0.05305031692174646	0.06982323936128376
duration	4	4	-1.5890089273452759	0.053201377245299754	0.06959593382261767
duration	4	5	-1.5924181938171387	0.05338781389779992	0.06943024030545393
duration	4	6	-1.605614423751831	0.053608282660262276	0.06936360516120887
duration	4	7	-1.6090136766433716	0.05371218831404558	0.06930321462028366
duration	4	8	-1.6273987293243408	0.053880936830261315	0.06926740625870759
duration	4	9	-1.6246426105499268	0.053845055855577105	0.06925531498260204
duration	4	10	-1.6241718530654907	0.05409694610620889	0.06928266989320653
duration	4	11	-1.6376434564590454	0.05424653259934614	0.06934944095292446
duration	4	12	-1.6252919435501099	0.05421392388795552	0.06928255348623893
duration	4	13	-1.6356688737869263	0.0543364844361281	0.06932901740608037
duration	4	14	-1.6402279138565063	0.05440981663061742	0.069412013904725
duration	4	15	-1.6336798667907715	0.05453576303916786	0.06940427153497457
duration	4	16	-1.633604645729065	0.05460010617326664	0.06941805815363511
duration	4	17	-1.6444164514541626	0.05484209357735188	0.06954816106915405
duration	4	18	-1.6303728818893433	0.054729496631042006	0.06954411512685409
duration	4	19	-1.6378344297409058	0.05490516699834754	0.06956323713587674
duration	4	20	-1.6524726152420044	0.05505269923743196	0.06965432569026894
duration	4	21	-1.6485406160354614	0.05510868903576668	0.06966328312635048
duration	4	22	-1.6474027633666992	0.055094198161636763	0.06970358244987743
duration	4	23	-1.649731993675232	0.05523669117526741	0.06972860703957715
duration	4	24	-1.6481627225875854	0.055266709651866766	0.06972896401807112
duration	4	25	-1.648444652557373	0.055470737166098044	0.0698583830070183
duration	4	26	-1.6363341808319092	0.05528107613057374	0.06979143249189777
duration	4	27	-1.6522892713546753	0.055309769493811445	0.06977406705085419
duration	4	28	-1.6573400497436523	0.05546056286830026	0.06990776544435474
duration	4	29	-1.6529186964035034	0.05546388508332297	0.06988550857894503
duration	5	0	-1.4381611347198486	0.051737963337356495	0.0732509106797314
duration	5	1	-1.5295121669769287	0.052925122143377246	0.07079837743686374
duration	5	2	-1.5719422101974487	0.053444484689956946	0.07000228796591364
duration	5	3	-1.608701229095459	0.05386341788642379	0.0696359967194545
duration	5	4	-1.6101367473602295	0.05406968994285782	0.06942310637119925
duration	5	5	-1.629135012626648	0.05429601855530722	0.06928054450957782
duration	5	6	-1.6323752403259277	0.05431065782593628	0.06919384948665233
duration	5	7	-1.6402612924575806	0.054481524567312464	0.06916127751303075
duration	5	8	-1.6494319438934326	0.0545763321736404	0.06911060662750057
duration	5	9	-1.6558597087860107	0.05459601210874856	0.06908879600418993
duration	5	10	-1.663939356803894	0.05504557344923969	0.0691972458759524
duration	5	11	-1.6564972400665283	0.05492022835853342	0.06916790534534895
duration	5	12	-1.6732714176177979	0.055075231118461444	0.0692036803472093
duration	5	13	-1.6700941324234009	0.05514518351567772	0.06923592721988546
duration	5	14	-1.6684824228286743	0.0552880971064739	0.06925254511963687
duration	5	15	-1.674117922782898	0.0553009993101633	0.06927120979892584
duration	5	16	-1.6800819635391235	0.0553420252746063	0.06929404008135263
duration	5	17	-1.6657085418701172	0.055471130760623794	0.0693671790452418
duration	5	18	-1.6654101610183716	0.05530526121974636	0.06927185439330194
duration	5	19	-1.6749874353408813	0.05544101548021564	0.06930334526879836
duration	5	20	-1.6717132329940796	0.055589988262618434	0.06937170505102896
duration	5	21	-1.6749050617218018	0.05555476914753768	0.06938736710022331
duration	5	22	-1.6709226369857788	0.05563928009606336	0.06945259498514385
duration	5	23	-1.6756608486175537	0.055776255525160724	0.06950903804064043
duration	5	24	-1.6707402467727661	0.055639975533508496	0.0694468738925364
duration	5	25	-1.679974913597107	0.0558909975035049	0.06956453055511172
duration	5	26	-1.6754074096679688	0.05593120654153618	0.06962204437256359
duration	5	27	-1.6701722145080566	0.05567126645730044	0.06946467920575558
duration	5	28	-1.6749390363693237	0.05590834485825483	0.06958289770610968
duration	5	29	-1.6792011260986328	0.0558887953611535	0.06958354484515004
duration	6	0	-1.4750958681106567	0.051815391717345866	0.07279663312251052
duration	6	1	-1.5645911693572998	0.053123212211472884	0.07053038001349635
duration	6	2	-1.6087539196014404	0.053609159044609396	0.06973194084458025
duration	6	3	-1.628880262374878	0.05385217875842478	0.06927672297271302
duration	6	4	-1.6444735527038574	0.05413889489024709	0.0690616951023347
duration	6	5	-1.6567730903625488	0.054352525015005294	0.06899105020012526
duration	6	6	-1.661841630935669	0.05432118087062938	0.06885913612120492
duration	6	7	-1.6599044799804688	0.054537558760164286	0.0688688250864894
duration	6	8	-1.674508810043335	0.054544813934316795	0.06874526317623225
duration	6	9	-1.679984211921692	0.05476125036445817	0.06880829664722003
duration	6	10	-1.683131217956543	0.05505969097621407	0.06892768613163501
duration	6	11	-1.6846559047698975	0.05485151729213629	0.06881422158269039
duration	6	12	-1.6913371086120605	0.05517122672168229	0.06892176343666137
duration	6	13	-1.694427490234375	0.05522845385602441	0.06896113410688631
duration	6	14	-1.6988365650177002	0.05526208411219566	0.06891637052561161
duration	6	15	-1.693689227104187	0.05521840679478458	0.06892611870906355
duration	6	16	-1.6940596103668213	0.05542096329341997	0.06899254291566063
duration	6	17	-1.6978766918182373	0.055531990717558787	0.06906725258637679
duration	6	18	-1.6985952854156494	0.05554362202391601	0.06906664604997878
duration	6	19	-1.7020347118377686	0.05540289162495992	0.06894822863151234
duration	6	20	-1.7061011791229248	0.0557194971010848	0.06912460290844447
duration	6	21	-1.703147292137146	0.055511528894707236	0.06906740020347725
duration	6	22	-1.6990653276443481	0.055649463099875306	0.0691048417837596
duration	6	23	-1.6944390535354614	0.05566538907505858	0.06912396613059928
duration	6	24	-1.7001036405563354	0.05572524441969836	0.06914135576994392
duration	6	25	-1.7129186391830444	0.0560058290963361	0.06929209078069914
duration	6	26	-1.70353364944458	0.05590509350035798	0.06925833583769213
duration	6	27	-1.7016998529434204	0.056098831185515806	0.06938676179215726
duration	6	28	-1.6968636512756348	0.05583096874601823	0.06922005199494763
duration	6	29	-1.7064647674560547	0.05614073334275529	0.0693942291942563
duration	7	0	-1.5046874284744263	0.051823059490135104	0.07230992345930157
duration	7	1	-1.584486961364746	0.052860052242061084	0.07012229340314523
duration	7	2	-1.63089120388031	0.05343116775780333	0.06935476875771349
duration	7	3	-1.6507863998413086	0.053575267150000515	0.0689165368743291
duration	7	4	-1.6672754287719727	0.05386973997739356	0.06877037556917177
duration	7	5	-1.6753456592559814	0.0540277171217033	0.06862707608806302
duration	7	6	-1.69329035282135	0.05426844267707303	0.06863886500062637
duration	7	7	-1.6888926029205322	0.05436659493919616	0.06859307663852539
duration	7	8	-1.7025012969970703	0.05455817443540787	0.06861875396957043
duration	7	9	-1.699745774269104	0.054661737018310716	0.06864181289701946
duration	7	10	-1.7109602689743042	0.0548788356869058	0.06869934679321603
duration	7	11	-1.7100179195404053	0.05496463473017322	0.06870194281597714
duration	7	12	-1.7150884866714478	0.05486315230269337	0.06866139584178318
duration	7	13	-1.713288426399231	0.05502996535808419	0.06875484862458606
duration	7	14	-1.7143346071243286	0.05516938879383343	0.06883145351357298
duration	7	15	-1.708168625831604	0.05505995956428054	0.06875654871183536
duration	7	16	-1.723572850227356	0.055122731698849785	0.06873262638680804
duration	7	17	-1.7194101810455322	0.055272769339506964	0.06885180781110922
duration	7	18	-1.716723918914795	0.05542271392736811	0.0689056962257874
duration	7	19	-1.7182971239089966	0.05547633678532807	0.06889160419198803
duration	7	20	-1.7221959829330444	0.055275230595403346	0.0688288954173651
duration	7	21	-1.720157265663147	0.05552804279689965	0.0689937522896721
duration	7	22	-1.7223750352859497	0.05567356070326187	0.06904947442632818
duration	7	23	-1.7291308641433716	0.05577877349704422	0.06911550713388867
duration	7	24	-1.726009726524353	0.05577786531182737	0.0691512599442857
duration	7	25	-1.7220872640609741	0.05581265903881515	0.06914180768815208
duration	7	26	-1.7177093029022217	0.055988419665750355	0.06921330354134858
duration	7	27	-1.723786473274231	0.0558925313599508	0.06919607663863313
duration	7	28	-1.7325403690338135	0.05593521739706033	0.06918455324111748
duration	7	29	-1.731553077697754	0.0559877503236285	0.06919170872685379
duration	8	0	-1.5118381977081299	0.05242115673285895	0.07179229738707238
duration	8	1	-1.6092838048934937	0.053479211605224036	0.06968695158735995
duration	8	2	-1.6407077312469482	0.0540569674260968	0.0689303245833527
duration	8	3	-1.6654911041259766	0.05425614829050207	0.06856887835183144
