ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
maxIncidence	0	0	-1.2471562623977661	0.01526755895324249	0.059826586110155795
maxIncidence	0	1	-1.3548840284347534	0.016446540796356796	0.05571969231533699
maxIncidence	0	2	-1.3978912830352783	0.017279539318262947	0.05387562488553548
maxIncidence	0	3	-1.4327863454818726	0.01778353017140949	0.052849733230374694
maxIncidence	0	4	-1.4544156789779663	0.019240312135771195	0.052609631264388924
maxIncidence	0	5	-1.4731683731079102	0.020166929767422813	0.0525418870416806
maxIncidence	0	6	-1.4901615381240845	0.020548725935342863	0.05241025986429478
maxIncidence	0	7	-1.4983184337615967	0.022337156836978195	0.05290125753746346
maxIncidence	0	8	-1.5030516386032104	0.02290745539482112	0.0529074742952708
maxIncidence	0	9	-1.5050594806671143	0.022682419768030374	0.05269483630416722
maxIncidence	0	10	-1.5107901096343994	0.024477817357153996	0.05314180127799385
maxIncidence	0	11	-1.5101362466812134	0.025281179399074566	0.05365765701479247
maxIncidence	0	12	-1.5122891664505005	0.02587641593306087	0.053762682948638375
maxIncidence	0	13	-1.5137745141983032	0.027528359484181156	0.05468611529784746
maxIncidence	0	14	-1.5251619815826416	0.028760057720425274	0.05499085869000344
maxIncidence	0	15	-1.5205591917037964	0.0281081177049662	0.05461828267583559
maxIncidence	0	16	-1.5237576961517334	0.030140407639404638	0.055704471562913936
maxIncidence	0	17	-1.5266711711883545	0.03003996273369898	0.05565146243625847
maxIncidence	0	18	-1.5276832580566406	0.03146314074471977	0.056479653040056435
maxIncidence	0	19	-1.5317188501358032	0.03111162293338287	0.05632397574840755
maxIncidence	0	20	-1.5231167078018188	0.030391539231704047	0.056043409448558804
maxIncidence	0	21	-1.5222285985946655	0.033549898300415305	0.05792554119417061
maxIncidence	0	22	-1.5327731370925903	0.03313744293742175	0.057310449624609655
maxIncidence	0	23	-1.5261422395706177	0.032058849351235354	0.05686044198421683
maxIncidence	0	24	-1.535901427268982	0.03549834376064655	0.058994228688853484
maxIncidence	0	25	-1.5316637754440308	0.03711723265383673	0.05992497356707885
maxIncidence	0	26	-1.5283257961273193	0.03762383598989522	0.059954053410392706
maxIncidence	0	27	-1.5365102291107178	0.038102260469410905	0.06040936932426222
maxIncidence	0	28	-1.5329387187957764	0.03939114241740803	0.06118567641768841
maxIncidence	0	29	-1.5321824550628662	0.03871055049634425	0.06070545074384886
maxIncidence	1	0	-1.2964898347854614	0.017585117827693692	0.05770214986462237
maxIncidence	1	1	-1.4012343883514404	0.018397074720980323	0.05355434965974977
maxIncidence	1	2	-1.4549843072891235	0.019248695562801107	0.05177356702801332
maxIncidence	1	3	-1.4857268333435059	0.020054175331474064	0.051102555106587316
maxIncidence	1	4	-1.4883288145065308	0.021447473475335075	0.05106938554704183
maxIncidence	1	5	-1.5138860940933228	0.02239459788237323	0.0511157829740416
maxIncidence	1	6	-1.5249619483947754	0.022899801390223518	0.05083128683533923
maxIncidence	1	7	-1.5206001996994019	0.023467581722783327	0.05098563843209126
maxIncidence	1	8	-1.534889578819275	0.024736462561137873	0.05139053165339132
maxIncidence	1	9	-1.546563744544983	0.02538504956453847	0.05152129566117474
maxIncidence	1	10	-1.5523762702941895	0.0260847977023947	0.05174145232852938
maxIncidence	1	11	-1.5462164878845215	0.02616325786865529	0.05177037495181999
maxIncidence	1	12	-1.5573053359985352	0.02703621443478275	0.05212541873481768
maxIncidence	1	13	-1.5600858926773071	0.02863987903346899	0.052860193451702626
maxIncidence	1	14	-1.566833257675171	0.030246311898950835	0.05372976765590015
maxIncidence	1	15	-1.5628538131713867	0.029906075003632883	0.05369448209421047
maxIncidence	1	16	-1.5672861337661743	0.03134259477222968	0.054406372993574544
maxIncidence	1	17	-1.5648812055587769	0.03216163475133624	0.05487667015255763
maxIncidence	1	18	-1.5665358304977417	0.03276565575227119	0.05502226754955454
maxIncidence	1	19	-1.5657975673675537	0.033194548123691374	0.055454774447455085
maxIncidence	1	20	-1.5650019645690918	0.03462301091604908	0.056110072000613624
maxIncidence	1	21	-1.564711570739746	0.03538003609037263	0.05660455825269268
maxIncidence	1	22	-1.5764127969741821	0.037506222396513966	0.05792408301044171
maxIncidence	1	23	-1.5799446105957031	0.03783444993847454	0.058259763698479586
maxIncidence	1	24	-1.579089879989624	0.03747393626594529	0.05771759963364425
maxIncidence	1	25	-1.578792929649353	0.03992932215135814	0.05949275730058671
maxIncidence	1	26	-1.5769332647323608	0.0400807321932865	0.05985669105611233
maxIncidence	1	27	-1.5815296173095703	0.0415139861126382	0.06097777625907874
maxIncidence	1	28	-1.574733018875122	0.042410053718862785	0.061234442912053995
maxIncidence	1	29	-1.5812597274780273	0.04092375425200919	0.06044891605611084
maxIncidence	2	0	-1.3333278894424438	0.01807731402701571	0.05618547079918387
maxIncidence	2	1	-1.4296791553497314	0.019062891853027376	0.0521443806421581
maxIncidence	2	2	-1.487060546875	0.019842259084468076	0.050548845155881525
maxIncidence	2	3	-1.5182603597640991	0.01998521322110447	0.049599749354661334
maxIncidence	2	4	-1.5373239517211914	0.0214352415478432	0.0495298057530967
maxIncidence	2	5	-1.5470829010009766	0.0219788808687747	0.04929925869673208
maxIncidence	2	6	-1.5608495473861694	0.023288140608541508	0.049577232605739596
maxIncidence	2	7	-1.5636143684387207	0.024461013949579558	0.04990096129796292
maxIncidence	2	8	-1.5690110921859741	0.02574721084030881	0.050528743934011855
maxIncidence	2	9	-1.5729676485061646	0.026267245465682803	0.05067760518627235
maxIncidence	2	10	-1.5890272855758667	0.026775512073890548	0.05079170229516561
