ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
establishment	0	0	-0.8229948282241821	0.015326505638362213	0.08855209265891502
establishment	0	1	-0.9229565262794495	0.003955695246087919	0.08210706399856842
establishment	0	2	-0.9562793970108032	0.003458397920561362	0.07973580082250858
establishment	0	3	-0.9744535684585571	0.0049399287901756815	0.07846220181533242
establishment	0	4	-0.9908373951911926	0.00532589418373573	0.0777946066360123
establishment	0	5	-0.9946760535240173	0.004859209019596414	0.07716373441356789
establishment	0	6	-1.0065414905548096	0.0059668592772755885	0.07705914227711484
establishment	0	7	-1.0155749320983887	0.006604388106320568	0.07681906369512272
establishment	0	8	-1.0117623805999756	0.006462573528047436	0.07659043128449107
establishment	0	9	-1.01409113407135	0.006938200670528881	0.07648288046559502
establishment	0	10	-1.0246210098266602	0.0065649442852557475	0.07653729323126772
establishment	0	11	-1.022822380065918	0.007762043023497211	0.07659262690006383
establishment	0	12	-1.0281842947006226	0.007668126615621152	0.07632410621054653
establishment	0	13	-1.0284041166305542	0.008257452024900207	0.0762667138690903
establishment	0	14	-1.0360602140426636	0.008703692415493063	0.07623496385690218
establishment	0	15	-1.0368684530258179	0.008525710852467599	0.07622499081520999
establishment	0	16	-1.0322895050048828	0.009939285043455847	0.07617766808709928
establishment	0	17	-1.0323487520217896	0.00933788418500355	0.07637153180511078
establishment	0	18	-1.0363781452178955	0.009129655351979623	0.07621803132942477
establishment	0	19	-1.0377117395401	0.009261093063843071	0.07613447850932081
establishment	0	20	-1.037680983543396	0.009513316318503138	0.07609774614420281
establishment	0	21	-1.041622281074524	0.009949183299617423	0.07637585485076001
establishment	0	22	-1.0354629755020142	0.010417664839425892	0.076340576019554
establishment	0	23	-1.045846939086914	0.010313721370357905	0.07620552904422519
establishment	0	24	-1.0392777919769287	0.009683700534199157	0.0761734708787396
establishment	0	25	-1.041704535484314	0.012088511053491147	0.07639160078970653
establishment	0	26	-1.0383373498916626	0.011052762457036428	0.07639846879865836
establishment	0	27	-1.0365947484970093	0.012154180996000736	0.07656935859310388
establishment	0	28	-1.0349311828613281	0.011049181690712031	0.07642205441176733
establishment	0	29	-1.041308045387268	0.01242351646400872	0.07652385582144533
establishment	1	0	-0.8170422315597534	0.016071045777243376	0.08350639424090067
establishment	1	1	-0.9166050553321838	0.004374959057255157	0.07715223756137919
establishment	1	2	-0.9488568305969238	0.004767830153087222	0.07495042963771574
establishment	1	3	-0.9653892517089844	0.004302868299707313	0.07369165864688487
establishment	1	4	-0.9843888878822327	0.005291034572589235	0.07305711130360308
establishment	1	5	-0.9919271469116211	0.005298010422737794	0.07256984478659179
establishment	1	6	-0.9978444576263428	0.006128976310382685	0.07236327119030363
establishment	1	7	-1.003296136856079	0.006545053749774478	0.07213316774883635
establishment	1	8	-1.0114150047302246	0.0067867759645764015	0.0719394505436948
establishment	1	9	-1.0160226821899414	0.006858413082128572	0.07188157649803426
establishment	1	10	-1.0209884643554688	0.007484520084871773	0.0718129547723645
establishment	1	11	-1.0253040790557861	0.007833513139139027	0.07174569775410931
establishment	1	12	-1.015623927116394	0.007268906391731934	0.07161113311348803
establishment	1	13	-1.0258854627609253	0.007762655801655876	0.07151642218196236
establishment	1	14	-1.0256427526474	0.008753459717574364	0.07162626311021288
establishment	1	15	-1.0243545770645142	0.007841127993984042	0.07152609665449122
establishment	1	16	-1.030851125717163	0.008559090071601152	0.07155249814064102
establishment	1	17	-1.0354607105255127	0.009471261519982031	0.07165208610611845
establishment	1	18	-1.0372905731201172	0.009210135986067198	0.07152874719566589
establishment	1	19	-1.033571481704712	0.008121276766083825	0.0714674050205879
establishment	1	20	-1.0227984189987183	0.009798506571582174	0.07174493714253972
establishment	1	21	-1.0392869710922241	0.009992419261340028	0.07157829767075591
establishment	1	22	-1.0320864915847778	0.009044149341551998	0.07143085825652336
establishment	1	23	-1.0278104543685913	0.010580914758406673	0.07165649286090892
establishment	1	24	-1.0395731925964355	0.010835935479021602	0.07190386189371036
establishment	1	25	-1.0378696918487549	0.0115935032485102	0.0717561450788381
establishment	1	26	-1.0385171175003052	0.011109512463356357	0.07163393230766506
establishment	1	27	-1.0411216020584106	0.009972780391121337	0.07145152110673977
establishment	1	28	-1.0346050262451172	0.011190078093532735	0.07166790672779917
establishment	1	29	-1.0344005823135376	0.011085172719704186	0.07181700023201779
establishment	2	0	-0.8209088444709778	0.016097292342952374	0.08081682086094068
establishment	2	1	-0.9195454120635986	0.003839934930658918	0.07490452608276976
establishment	2	2	-0.9525159597396851	0.004327970235278589	0.0729778029756471
establishment	2	3	-0.9731281399726868	0.004998022445630023	0.07184264334481587
establishment	2	4	-0.9853622317314148	0.004307166285168455	0.07119464371782824
establishment	2	5	-0.9991768002510071	0.005948591311717099	0.07081409322102455
establishment	2	6	-1.0066169500350952	0.0065235933526267015	0.07060720710882258
establishment	2	7	-1.0072492361068726	0.0052698152135839515	0.07024433203973285
establishment	2	8	-1.0205096006393433	0.006622204529732007	0.0702021328847627
establishment	2	9	-1.0223580598831177	0.007379901199740547	0.07013470791301848
establishment	2	10	-1.0205634832382202	0.007342785863011733	0.07004068502764195
establishment	2	11	-1.0291327238082886	0.007643345989177478	0.07015143185367094
establishment	2	12	-1.025436282157898	0.007993030387415195	0.06996811778308305
establishment	2	13	-1.0254977941513062	0.008495728198003902	0.07020783484637676
establishment	2	14	-1.0237444639205933	0.009080948257904255	0.06995036950966149
establishment	2	15	-1.0334322452545166	0.008861717631114496	0.06997703451127028
establishment	2	16	-1.0341989994049072	0.009838154345083928	0.07012417346197572
establishment	2	17	-1.0364913940429688	0.009406857367174675	0.07000473260245946
establishment	2	18	-1.0389758348464966	0.009545895181242629	0.0702064867612331
establishment	2	19	-1.0379269123077393	0.010530480212883532	0.070047398568895
establishment	2	20	-1.036695957183838	0.010283988522817028	0.07019412142908377
establishment	2	21	-1.0439261198043823	0.010993340449682264	0.07008731854164124
establishment	2	22	-1.0401976108551025	0.010612959509547467	0.06992575877230248
establishment	2	23	-1.0458831787109375	0.01132768498355605	0.07003466407810723
establishment	2	24	-1.0400469303131104	0.011866531978887993	0.07041810454363344
establishment	2	25	-1.038169026374817	0.012145677867258805	0.07011565462786641
establishment	2	26	-1.0422782897949219	0.012765540033065449	0.07025094177146222
establishment	2	27	-1.0401567220687866	0.012402994027396488	0.07017039898179768
establishment	2	28	-1.0472785234451294	0.012540049001767382	0.07014286183301743
establishment	2	29	-1.0490864515304565	0.01267083780208024	0.0701953186527748
establishment	3	0	-0.8264239430427551	0.01665016816013847	0.07840045881066973
establishment	3	1	-0.9207591414451599	0.004411973847473505	0.07296853379540502
establishment	3	2	-0.9569911956787109	0.0044625509859788325	0.07116831852553893
establishment	3	3	-0.9781045913696289	0.003232966936216802	0.0701798611593965
establishment	3	4	-0.9918723106384277	0.00414616332031346	0.06970528551677448
establishment	3	5	-1.0007988214492798	0.005108979948837998	0.06947410482663896
establishment	3	6	-1.0081554651260376	0.0061518145413381065	0.06911244555888205
establishment	3	7	-1.0088773965835571	0.0065626196877684	0.06914687872380781
establishment	3	8	-1.0104025602340698	0.006903180133403066	0.06893172971116819
establishment	3	9	-1.0255950689315796	0.006532145010967491	0.06875800150126869
establishment	3	10	-1.0126758813858032	0.007721537815204392	0.06880069558766296
establishment	3	11	-1.0329011678695679	0.007915700889646542	0.06876896891754777
establishment	3	12	-1.035202145576477	0.008111907425289808	0.0690375514302341
establishment	3	13	-1.0348445177078247	0.008786339710593826	0.06882662172794209
establishment	3	14	-1.0403474569320679	0.009321013796256163	0.06885500491732985
establishment	3	15	-1.0357469320297241	0.009717845793476154	0.06906185817427564
establishment	3	16	-1.0246723890304565	0.010137438152152227	0.0691841662686224
establishment	3	17	-1.034589171409607	0.01030877528378095	0.06908801822680538
establishment	3	18	-1.0312697887420654	0.009653105549252358	0.06874666524197129
establishment	3	19	-1.042893886566162	0.010395296719254946	0.06917588906688907
establishment	3	20	-1.0519495010375977	0.010821518828388443	0.06928214385118106
establishment	3	21	-1.0516633987426758	0.011437890859019077	0.06896534779359963
establishment	3	22	-1.0495877265930176	0.011792644481326013	0.06900179365973828
establishment	3	23	-1.0550739765167236	0.012069836795454552	0.06936294804060579
establishment	3	24	-1.0510486364364624	0.010642520451542358	0.06914443400553277
establishment	3	25	-1.051803469657898	0.0131676745117653	0.06941664532742096
establishment	3	26	-1.0524470806121826	0.012340166320878584	0.06938690570893678
establishment	3	27	-1.0469970703125	0.013554065129451624	0.06959052518479049
establishment	3	28	-1.0628957748413086	0.013762027432806613	0.06928304685397382
establishment	3	29	-1.0522148609161377	0.012791415550609071	0.06935642112403832
establishment	4	0	-0.8280091285705566	0.016852593534101033	0.07673514826495784
establishment	4	1	-0.9221139550209045	0.004103586329744328	0.0714349058400872
establishment	4	2	-0.9589084386825562	0.004083489088626689	0.06972485796652951
establishment	4	3	-0.9716746807098389	0.00508217930977414	0.06877927759728437
establishment	4	4	-1.0008926391601562	0.004917025879466712	0.06843324692275195
establishment	4	5	-0.9968969225883484	0.005679181061265325	0.06800325523816127
establishment	4	6	-1.0101388692855835	0.004676574728133668	0.06780381604138251
establishment	4	7	-1.0183956623077393	0.0061793542440747315	0.06762973258105147
establishment	4	8	-1.022935152053833	0.0068250664864840365	0.06763047839205065
establishment	4	9	-1.0289056301116943	0.006595282310046688	0.06768783961035436
