municipality	alphaRest	rmse	rank
CO05001	0.005510204081632653	0.5569081127629518	1
CO05045	0.003673469387755102	0.5569081127629518	1
CO05051	0.003673469387755102	0.5569081127629518	1
CO05079	0.003673469387755102	0.5569081127629518	1
CO05088	0.003673469387755102	0.5569081127629518	1
CO05120	0.003673469387755102	0.5569081127629518	1
CO05147	0.003673469387755102	0.5569081127629518	1
CO05154	0.003673469387755102	0.5569081127629518	1
CO05172	0.003061224489795918	0.5569081127629518	1
CO05212	0.005510204081632653	0.5569081127629518	1
CO05250	0.005510204081632653	0.5569081127629518	1
CO05308	0.004897959183673469	0.5569081127629518	1
CO05360	0.003061224489795918	0.5569081127629518	1
CO05490	0.003673469387755102	0.5569081127629518	1
CO05579	0.004285714285714285	0.5569081127629518	1
CO05665	0.004897959183673469	0.5569081127629518	1
CO05736	0.006122448979591836	0.5569081127629518	1
CO05790	0.004285714285714285	0.5569081127629518	1
CO05837	0.003061224489795918	0.5569081127629518	1
CO05895	0.003673469387755102	0.5569081127629518	1
CO08001	0.003673469387755102	0.5569081127629518	1
CO08078	0.004285714285714285	0.5569081127629518	1
CO08296	0.005510204081632653	0.5569081127629518	1
CO08433	0.003673469387755102	0.5569081127629518	1
CO08573	0.003673469387755102	0.5569081127629518	1
CO08638	0.004285714285714285	0.5569081127629518	1
CO08758	0.003061224489795918	0.5569081127629518	1
CO13052	0.004285714285714285	0.5569081127629518	1
CO13244	0.004285714285714285	0.5569081127629518	1
CO13430	0.003673469387755102	0.5569081127629518	1
CO13468	0.004897959183673469	0.5569081127629518	1
CO13657	0.02387755102040816	0.5569081127629518	1
CO13670	0.003673469387755102	0.5569081127629518	1
CO13688	0.006122448979591836	0.5569081127629518	1
CO13836	0.003673469387755102	0.5569081127629518	1
CO15572	0.004897959183673469	0.5569081127629518	1
CO17042	0.004285714285714285	0.5569081127629518	1
CO17174	0.005510204081632653	0.5569081127629518	1
CO17380	0.004285714285714285	0.5569081127629518	1
CO18001	0.004285714285714285	0.5569081127629518	1
CO18150	0.004285714285714285	0.5569081127629518	1
CO18592	0.003673469387755102	0.5569081127629518	1
CO18753	0.006122448979591836	0.5569081127629518	1
CO19212	0.004285714285714285	0.5569081127629518	1
CO19455	0.004285714285714285	0.5569081127629518	1
CO19573	0.004897959183673469	0.5569081127629518	1
CO19698	0.004285714285714285	0.5569081127629518	1
CO20001	0.004285714285714285	0.5569081127629518	1
CO20011	0.004897959183673469	0.5569081127629518	1
CO20013	0.00673469387755102	0.5569081127629518	1
CO20060	0.004897959183673469	0.5569081127629518	1
CO20175	0.00673469387755102	0.5569081127629518	1
